"","category","name","reviewer","review","date","ratings"
"1","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Amazon Customer","Great pencils.","Reviewed in the United Kingdom on 6 March 2024","4.5 out of 5 stars"
"2","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Nic","Ideal for hobby woodwork machine work resistant to shock.","Reviewed in the United Kingdom on 15 May 2021","5.0 out of 5 stars"
"3","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Amazon Customer","they are value for money","Reviewed in the United Kingdom on 6 March 2024","3.0 out of 5 stars"
"4","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","james","not sure about price but nice to have a pencil on hand with rubber on top","Reviewed in the United Kingdom on 24 December 2023","5.0 out of 5 stars"
"5","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Paula Hammond","Little too high price..","Reviewed in the United Kingdom on 13 September 2021","5.0 out of 5 stars"
"6","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","MR K S ABBOTT","Great Quality Pencils. These Bic pencils are easy to sharpen which is the main reason I like to buy them and the dont break when writing. Good value too.","Reviewed in the United Kingdom on 7 January 2024","5.0 out of 5 stars"
"7","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Kristine","Flimsy... They feel almost like they're going to bend in your hand, so drawing feels weird... But I guess that's the shock absorbing part... 3* from me because I don't like the soft bendy feel.","Reviewed in the United Kingdom on 4 September 2021","4.0 out of 5 stars"
"8","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Sunny Diya","The pencils does not write nice and the edge is very sensitive","Reviewed in the United Kingdom on 3 September 2021","5.0 out of 5 stars"
"9","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Nic","My favourite pencils! Just perfect","Reviewed in the United Kingdom on 15 May 2021","5.0 out of 5 stars"
"10","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","manti","They snap like any pencil. Write very faint","Reviewed in the United Kingdom on 6 May 2021","3.0 out of 5 stars"
"11","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Amazon Customer","Great pencils.","Reviewed in the United Kingdom on 6 March 2024","4.5 out of 5 stars"
"12","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Nic","Ideal for hobby woodwork machine work resistant to shock.","Reviewed in the United Kingdom on 15 May 2021","5.0 out of 5 stars"
"13","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Amazon Customer","they are value for money","Reviewed in the United Kingdom on 6 March 2024","3.0 out of 5 stars"
"14","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","james","not sure about price but nice to have a pencil on hand with rubber on top","Reviewed in the United Kingdom on 24 December 2023","5.0 out of 5 stars"
"15","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Paula Hammond","Little too high price..","Reviewed in the United Kingdom on 13 September 2021","5.0 out of 5 stars"
"16","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","MR K S ABBOTT","Great Quality Pencils. These Bic pencils are easy to sharpen which is the main reason I like to buy them and the dont break when writing. Good value too.","Reviewed in the United Kingdom on 7 January 2024","5.0 out of 5 stars"
"17","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Kristine","Flimsy... They feel almost like they're going to bend in your hand, so drawing feels weird... But I guess that's the shock absorbing part... 3* from me because I don't like the soft bendy feel.","Reviewed in the United Kingdom on 4 September 2021","4.0 out of 5 stars"
"18","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Sunny Diya","The pencils does not write nice and the edge is very sensitive","Reviewed in the United Kingdom on 3 September 2021","5.0 out of 5 stars"
"19","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Nic","My favourite pencils! Just perfect","Reviewed in the United Kingdom on 15 May 2021","5.0 out of 5 stars"
"20","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","manti","They snap like any pencil. Write very faint","Reviewed in the United Kingdom on 6 May 2021","3.0 out of 5 stars"
"21","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Amazon Customer","Great pencils.","Reviewed in the United Kingdom on 6 March 2024","4.5 out of 5 stars"
"22","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Nic","Ideal for hobby woodwork machine work resistant to shock.","Reviewed in the United Kingdom on 15 May 2021","5.0 out of 5 stars"
"23","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Amazon Customer","they are value for money","Reviewed in the United Kingdom on 6 March 2024","3.0 out of 5 stars"
"24","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","james","not sure about price but nice to have a pencil on hand with rubber on top","Reviewed in the United Kingdom on 24 December 2023","5.0 out of 5 stars"
"25","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","Paula Hammond","Little too high price..","Reviewed in the United Kingdom on 13 September 2021","5.0 out of 5 stars"
"26","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","MR K S ABBOTT","Great Quality Pencils. These Bic pencils are easy to sharpen which is the main reason I like to buy them and the dont break when writing. Good value too.","Reviewed in the United Kingdom on 7 January 2024","5.0 out of 5 stars"
