"","category","name","price","ratings","no_of_reviews"
"37","Pencil","BIC Kids Jumbo Triangular Learner Pencils with Blue Barrels, Extra Large HB Graphite Pencils, Pack of 12","£2.12","4.7 out of 5 stars","2,708"
"38","Pencil","OFFCUP Everlasting Pencil, 5pcs Infinity Pencil with Eraser and Replacement Nibs, Reusable Inkless Pencil for Writing, Drawing, Students Home Office School Supplies (Light Color)","£0.21","4.3 out of 5 stars","311"
"39","Pencil","Pentel 0.7mm (P207) Blue P200 Series Automatic Mechanical Draughting Pencil Refillable Lead Eraser P207-C (Pack Of 6)","£2.65","4.8 out of 5 stars","389"
"40","Pencil","BIC Triangular Pencil HB BIC KIDS EVOLUTION 2 Assorted Colours - Pack of 2, Blue/Pink","£7.99","4.5 out of 5 stars","520"
"41","Pencil","STAEDTLER 110-2H Tradition Graphite Pencil for Drawing & Sketching - 2H (Box of 12), Black","£9.99","4.7 out of 5 stars","7,374"
"42","Pencil","Surcotto HB pencils, 30 HB pencils with eraser and sharpener, pre-sharpened triangular pencils for children's writing and drawing at school and home","£4.98","4.7 out of 5 stars","102"
"43","Pencil","Mechanical pencil Pentel PG1013-E GraphGear1000, line width 0.3 mm, rubber (Z2-1N), 1 piece","£0.42","4.6 out of 5 stars","10,377"
"44","Pencil","Helix Oxford 2B Grade Graphite Pencils with Eraser Tip (Pack of 12) with Plastic Free Packaging, 857201","£7.20","4.7 out of 5 stars","3,549"
"45","Pencil","Q-Connect HB Rubber Tipped Office Pencil (12 Pack)","£3.76","4.3 out of 5 stars","44"
"46","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","£1.80","4.7 out of 5 stars","12,569"
"47","Pencil","12 HB Pencils for Children | Pencils for School | Kids Writing Pencils | Hexagonal | Wood Cased | Everyday Office use (Black Lead, 12)","£0.36","4.6 out of 5 stars","2,888"
"48","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [PACK OF 50) LOOSE","£4.00","4.6 out of 5 stars","1,878"
"49","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","£2.75","4.5 out of 5 stars","3,303"
"50","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","£9.16","4.7 out of 5 stars","81,732"
"51","Pencil","STAEDTLER 120-2 BK5D Noris HB Pencils, 5 Count (Pack of 1), Yellow, Black","£0.18","4.7 out of 5 stars","12,709"
"52","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [Box of 18]","£9.99","4.6 out of 5 stars","717"
"53","Pencil","Just stationery,10 Count (Pack of 1),6346 HB Pencil with Sharpener (Pack of 10),Package May Vary","£2.56","4.5 out of 5 stars","332"
"54","Pencil","STAEDTLER Noris School Pencils 121 - HB Grade [Pack of 36]","£0.21","4.6 out of 5 stars","6,975"
"55","Pencil","Nicpro 2mm Mechanical Pencil Set, 3 PCS Artist Propelling Drafting Clutch Pencil 2.0 mm for Art Drawing Writing Sketching with 6 Tube HB & 2B Refill, Eraser, Sharpener, Propelling Lead Holder","£8.23","4.5 out of 5 stars","2,936"
"56","Pencil","BIC Matic Fun, HB Mechanical Pencils and Eraser, Assorted Barrel Colours with Fine ,Yellow,Blue,Green,White,Pink,Point (0.7mm), Pack of 5,Yellow,Blue,Green,White,Pink","£0.27","4.7 out of 5 stars","4,174"
"57","Pencil","STAEDTLER 61 120 C6 Noris Graphite Pencils - Sketch Set (Pack of 6 Pencils in Assorted Grades, Eraser & FREE Sharpener)","£8.54","4.7 out of 5 stars","21"
